,pair1,pair2,apr,tvl,fee,network,apy,type_of_agriculture,dex,date,Website,Network,Grade
1695,BID,LINK,0.0,365.9737423,,ETH,0.0,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1696,BIDR,BNB,61.67,849844.67,0,BSC,85.18397442732977,FARM,https://www.wardenswap.finance,2021-08-23,https://www.wardenswap.finance,BSC,D
1697,BIFI,,1936.68,2.63,4,BSC,15680009331.051594,FARM,https://tapswap.finance,2021-08-23,https://tapswap.finance,BSC,D
1698,BIFI,,8.78,2305.98,4,BSC,9.175821900313942,FARM,https://www.elixir-swap.io,2021-08-23,https://www.elixir-swap.io,BSC,F
1699,BIFI,,26.43,1108.95,4,BSC,30.239432001219612,FARM,https://jaguarswap.com,2021-08-23,https://jaguarswap.com,BSC,C
1700,BIFI,,0.00,108.87,4,BSC,0.0,FARM,https://gocerberus.finance,2021-08-23,https://gocerberus.finance,BSC,C
1701,BIFI,,0,0.00,4,MATIC,0.0,FARM,https://polywantsacracker.farm,2021-08-23,,,
1702,BIFI,,0,0.00,4,MATIC,0.0,FARM,https://stadiumarcadium.farm,2021-08-23,,,
1703,BIFI,APE,71.80,5372.61,0,BSC,104.88829198723595,FARM,https://memefarm.io,2021-08-23,https://memefarm.io,BSC,F
1704,BIFI,AVAX,8.99,18265,0,ETH,9.405276114114391,POOL,Pangolin,2021-08-23,Pangolin,ETH,B
1705,BIFI,BBOO,139.82,2447.88,0,BSC,303.7108781803452,FARM,https://pandayield.com,2021-08-23,https://pandayield.com,BSC,D
1706,BIFI,BNB,249.14,1548.37,0,BSC,1097.6371346033916,FARM,https://memefarm.io,2021-08-23,https://memefarm.io,BSC,F
1707,BIFI,BNB,63.88,1902603.52,0,BSC,89.31491465899086,FARM,https://apeswap.finance,2021-08-23,https://apeswap.finance,BSC,C
1708,BIFI,BNB,86.93,35.35,4.00,BSC,138.27766306285204,FARM,https://snakedefi.com,2021-08-23,https://snakedefi.com,BSC,F
1709,BIFI,BNB,0,429.66,0,BSC,0.0,FARM,https://www.goosedefi.com,2021-08-23,https://www.goosedefi.com,BSC,C
1710,BIFI,BNB,24.58,182.09,0,BSC,27.853804552793846,FARM,https://frankenstein.finance,2021-08-23,https://frankenstein.finance,BSC,F
1711,BIFI,BNB,24.58,182.09,0,BSC,27.853804552793846,FARM,https://frankenstein.finance,2021-08-23,https://frankenstein.finance,FANTOM,F
1712,BIFI,BNB,90.59,670.79,4,BSC,147.13824043731103,FARM,https://www.elixir-swap.io,2021-08-23,https://www.elixir-swap.io,BSC,F
1713,BIFI,BNB,42.29,3006945.93,0,BSC,52.60080326837227,FARM,https://pancakeswap.finance,2021-08-23,https://pancakeswap.finance,BSC,B
1714,BIFI,BNB,70.20,612863.89,0,BSC,101.64242919767203,FARM,https://biswap.org,2021-08-23,https://biswap.org,BSC,D
1715,BIFI,BNB,0.00,2003.45,0,BSC,0.0,FARM,https://julswap.com,2021-08-23,https://julswap.com,BSC,C
1716,BIFI,BNB,42.93,32986.96,0,BSC,53.57943424081504,FARM,https://cafeswap.finance,2021-08-23,https://cafeswap.finance,BSC,C
1717,BIFI,BNB,7.80,39134.64,0,BSC,8.111364964830582,FARM,https://app.swamp.finance,2021-08-23,https://app.swamp.finance,BSC,C
1718,BIFI,BUSD,12.91,28256.47,0,BSC,13.777792780563235,FARM,https://kebabfinance.com,2021-08-23,https://kebabfinance.com,BSC,D
1719,BIFI,CRY,806.22,1145.95,2,BSC,290475.9235313129,FARM,https://www.cryptosphere.finance,2021-08-23,,,
1720,BIFI,ETH,2939.69,2992429.40,0,MATIC,190033121806074.6,FARM,https://poly.cakecrypt.io,2021-08-23,,,
1721,BIFI,ETH,0.62,2950630,0,ETH,0.6219206798577126,POOL,QuickSwap,2021-08-23,QuickSwap,ETH,B
1722,BIFI,Energy,1010.21,159.81,2,BSC,2126424.287158063,FARM,https://bscrunner.com,2021-08-23,https://bscrunner.com,BSC,D
1723,BIFI,FSTX,221.82,390.19,0,BSC,812.9280588764656,FARM,http://fishstix.finance,2021-08-23,http://fishstix.finance,BSC,F
1724,BIFI,FTM,92.14,484768.54,0,FANTOM,150.9890106730117,FARM,https://spookyswap.finance,2021-08-23,https://spookyswap.finance,FANTOM,B
1725,BIFI,MANY,367.00,2478.75,0,BSC,3753.905738051695,FARM,https://manyswap.io,2021-08-23,https://manyswap.io,BSC,D
1726,BIFI,MATIC,13.99,538619.94,0,MATIC,15.01279486435456,FARM,https://app.wault.finance/polygon,2021-08-23,https://app.wault.finance/polygon,MATIC,B
1727,BIFI,QUICK,0.32,589291,0,ETH,0.32051113933926345,POOL,QuickSwap,2021-08-23,QuickSwap,ETH,B
1728,BIFI,SNKE,968.03,3.17,4.00,BSC,1410221.4598619496,FARM,https://snakedefi.com,2021-08-23,https://snakedefi.com,BSC,F
1729,BIFI,USDC,21.57,672767.76,0,MATIC,24.065105995843172,FARM,https://app.sushi.com,2021-08-23,https://app.sushi.com,MATIC,A
1730,BIFI,USDT,127.24,327581.18,0,BSC,256.15196799334115,FARM,https://mdex.com,2021-08-23,https://mdex.com,BSC,C
1731,BIFI,VEGAN,210.26,580.47,2,BSC,713.8184277679231,FARM,https://veganswap.finance,2021-08-23,https://veganswap.finance,BSC,D
1732,BIKI,USDT,923.77,848.87,0,ETH,916025.3173805692,FARM,https://sakeswap.finance,2021-08-23,https://sakeswap.finance,ETH,C
1733,BILL,,0,0.00,2.5,BSC,0.0,FARM,https://nu.parthenon.finance,2021-08-23,https://nu.parthenon.finance,BSC,D
1734,BILL,,183.71,2401.66,0,BSC,524.9442463677757,FARM,https://www.billhwangdefi.co,2021-08-23,https://www.billhwangdefi.co,BSC,C
1735,BILL,BNB,585.01,1093.06,0,BSC,33052.832521024735,FARM,https://www.billhwangdefi.co,2021-08-23,https://www.billhwangdefi.co,BSC,C
1736,BILL,BUSD,933.45,685.04,0,BSC,1006719.4092278572,FARM,https://www.billhwangdefi.co,2021-08-23,https://www.billhwangdefi.co,BSC,C
1737,BILL,DOT,882.16,1087.31,0,BSC,610290.1944150673,FARM,https://www.billhwangdefi.co,2021-08-23,https://www.billhwangdefi.co,BSC,C
1738,BILL,USDT,791.82,1211.35,0,BSC,252283.47690119402,FARM,https://www.billhwangdefi.co,2021-08-23,https://www.billhwangdefi.co,BSC,C
1739,BIOS,ETH,11.307212759999999,779452.6865202,,ETH,11.969308566601677,POOL,Sushi,2021-08-23,Sushi,ETH,A
1740,BIRB,BNB,313.08,776378.34,0,BSC,2158.868278727751,FARM,https://apeswap.finance,2021-08-23,https://apeswap.finance,BSC,C
1741,BIRB,WOOF,647.49,6953.59,0,BSC,61186.19412666632,FARM,https://app.shibance.com,2021-08-23,,,
1742,BIRD,AVAX,2065.55,3211.05,4,AVAX,53202581433.10607,FARM,https://birdy.finance,2021-08-23,https://birdy.finance,AVAX,F
1743,BIRD,ETH,4.06010712,1025845.5750037999,,ETH,4.143421208726172,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1744,BIRD,USDT,2256.29,8401.04,4,AVAX,322111588789.5666,FARM,https://birdy.finance,2021-08-23,https://birdy.finance,AVAX,F
1745,BISCUIT,,1257.55,16.76,0,MATIC,23414876.59124252,FARM,https://www.bakerybiscuit.finance,2021-08-23,,,
1746,BISCUIT,BAKE,3535.50,12.86,0,MATIC,4.525047944727553e+16,FARM,https://www.bakery-swap.finance,2021-08-23,,,
1747,BISCUIT,USDC,1667.03,82.42,0,MATIC,1200488834.5473695,FARM,https://www.bakerybiscuit.finance,2021-08-23,,,
1748,BISCUIT,USDC,7572.58,82.38,0,MATIC,7.666510997203262e+31,FARM,https://www.bakerycake.finance,2021-08-23,,,
1749,BISON,BNB,236.06,1029688.59,0,BSC,951.7066142724154,FARM,https://apeswap.finance,2021-08-23,https://apeswap.finance,BSC,C
1750,BIST,ETH,9.14951304,341702.4442982,,ETH,9.57988763441644,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1751,BITE,,0,50.10,0,BSC,0.0,FARM,https://www.cobrafinance.org,2021-08-23,https://www.cobrafinance.org,BSC,F
1752,BITE,BNB,0,837.27,0,BSC,0.0,FARM,https://www.cobrafinance.org,2021-08-23,https://www.cobrafinance.org,BSC,F
1753,BITE,BUSD,0,428.04,0,BSC,0.0,FARM,https://www.cobrafinance.org,2021-08-23,https://www.cobrafinance.org,BSC,F
1754,BLACKBRY,,1173.75,78.02,0,MATIC,10405934.797027081,FARM,https://blackberryfarms.world/,2021-08-23,,,
1755,BLACKBRY,,0,0.00,2,MATIC,0.0,FARM,https://hawkfarming.finance,2021-08-23,,,
1756,BLACKBRY,MATIC,8190.99,131.70,0,MATIC,1.2399251270778905e+34,FARM,https://blackberryfarms.world/,2021-08-23,,,
1757,BLACKBRY,USDC,5641.75,114.20,0,MATIC,6.070035109659734e+24,FARM,https://blackberryfarms.world/,2021-08-23,,,
1758,BLACKSHEEP,,265.99,82.75,0,BSC,1315.7647760343255,FARM,https://www.blacksheepdefi.com,2021-08-23,https://www.blacksheepdefi.com,BSC,F
1759,BLACKSHEEP,BNB,717.31,34.52,0,BSC,121524.80016384406,FARM,https://www.blacksheepdefi.com,2021-08-23,https://www.blacksheepdefi.com,BSC,F
1760,BLACKSHEEP,BUSD,6809.76,4.85,0,BSC,1.3089200382016838e+29,FARM,https://www.blacksheepdefi.com,2021-08-23,https://www.blacksheepdefi.com,BSC,F
1761,BLANK,ETH,10.80275724,4962.1398772,,ETH,11.406065650804887,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1762,BLAST,BNB,757.47,5601.93,0,BSC,180193.89843294836,FARM,https://olive.cash/farms,2021-08-23,https://olive.cash/farms,BSC,C
1763,BLAZE,,4236.07,66.41,0,BSC,2.5438194702328885e+19,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
1764,BLAZE,0XC,6281.59,28.66,3,BSC,1.4855276971214085e+27,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
1765,BLAZE,BNB,15519.34,34.80,0,BSC,1.4563650572334023e+58,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
1766,BLAZE,BUSD,8096.33,111.19,0,BSC,5.718517295592706e+33,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
1767,BLD,USDC,33.69,13.578216,,SOL,40.03813801987046,POOL,Raydium,2021-08-23,Raydium,SOL,B
1768,BLES,ETH,13.18932036,145449.1827386,,ETH,14.09592768080643,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1769,BLIQ,BNB,213.35,417.70,0,BSC,739.2083483698357,FARM,https://glacierswap.org/farms/,2021-08-23,https://glacierswap.org/farms/,BSC,D
1770,BLO,ETH,0.74614548,14904.5500952,,ETH,0.74892839822851,POOL,Sushi,2021-08-23,Sushi,ETH,A
1771,BLOCK,AVAX,7.94,181376,0,ETH,8.262794200881585,POOL,Pangolin,2021-08-23,Pangolin,ETH,B
1772,BLOCK,PNG,5.72,55348,0,ETH,5.886281742309607,POOL,Pangolin,2021-08-23,Pangolin,ETH,B
1773,BLOCK,SNOB,14.93,14536,0,ETH,16.098580185854814,POOL,Pangolin,2021-08-23,Pangolin,ETH,B
1774,BLOOD,,0,0.00,0,BSC,0.0,FARM,https://champagne.farm,2021-08-23,https://champagne.farm,BSC,D
1775,BLOOD,BUSD,2898.52,0.31,0,BSC,129798855754500.0,FARM,https://champagne.farm,2021-08-23,https://champagne.farm,BSC,D
1776,BLOODMOON,,43.25,1172.58,0,BSC,54.07109423912444,FARM,https://bloodmoon.werewolf.farm,2021-08-23,https://bloodmoon.werewolf.farm,BSC,D
1777,BLOODMOON,BNB,963.80,518.56,0,BSC,1353284.114715508,FARM,https://clash.werewolf.farm,2021-08-23,,,
1778,BLOODMOON,BNB,784.25,96.99,0,BSC,234257.91244218158,FARM,https://bloodmoon.werewolf.farm,2021-08-23,https://bloodmoon.werewolf.farm,BSC,D
1779,BLOODMOON,BUSD,339.74,298.52,0,BSC,2842.0332827530247,FARM,https://bloodmoon.werewolf.farm,2021-08-23,https://bloodmoon.werewolf.farm,BSC,D
1780,BLOODMOON,Cake,1098.77,69.23,0,BSC,5028907.018776626,FARM,https://bloodmoon.werewolf.farm,2021-08-23,https://bloodmoon.werewolf.farm,BSC,D
1781,BLOODMOON,WEREWOLF,1207.61,41.99,0,BSC,14444046.884435566,FARM,https://bloodmoon.werewolf.farm,2021-08-23,https://bloodmoon.werewolf.farm,BSC,D
1782,BLT,,0,0.00,0,BSC,0.0,FARM,https://farm.project69.network,2021-08-23,https://farm.project69.network,BSC,F
1783,BLT,BNB,598.73,36.44,0,BSC,37845.043076276816,FARM,https://farm.project69.network,2021-08-23,https://farm.project69.network,BSC,F
1784,BLT,BUSD,781.66,46.53,0,BSC,228390.21716513386,FARM,https://farm.project69.network,2021-08-23,https://farm.project69.network,BSC,F
1785,BLT,ETH,3.51,58070.76,0,ETH,3.572152808777629,FARM,https://www.bao.finance,2021-08-23,https://www.bao.finance,ETH,F
1786,BLT,ETH,8.7138072,10412.6505198,,ETH,9.103596581658447,POOL,Sushi,2021-08-23,Sushi,ETH,A
1787,BLT,P69,4686.29,3.88,0,BSC,1.4054977678492332e+21,FARM,https://farm.project69.network,2021-08-23,https://farm.project69.network,BSC,F
1788,BLUE,,0.00,2747.72,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1789,BLUE,BANANA,0,0.00,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1790,BLUE,BNB,0.00,400.59,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1791,BLUE,BUSD,0.00,299.20,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1792,BLUE,GREEN,0.00,46.70,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1793,BLUE,MOK,337.90,1550.82,0,BSC,2788.8837058622307,FARM,https://www.mocktailswap.finance,2021-08-23,https://www.mocktailswap.finance,BSC,F
1794,BLUE,SALT,0.00,7.70,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1795,BLUE,SLME,0.00,0.62,0,BSC,0.0,FARM,http://slime.finance,2021-08-23,http://slime.finance,BSC,D
1796,BLUE,SLME,0.00,0.62,0,BSC,0.0,FARM,http://shitz.lol,2021-08-23,http://shitz.lol,BSC,F
1797,BLUE,SNKE,1564.23,1.96,4.00,BSC,448566897.76499486,FARM,https://snakedefi.com,2021-08-23,https://snakedefi.com,BSC,F
1798,BLUE,SOUL,0,0.00,0,BSC,0.0,FARM,https://app.blueswap.finance,2021-08-23,https://app.blueswap.finance,BSC,D
1799,BLUEBALLS,,749.55,49.34,0,BSC,166732.4859658373,FARM,https://www.blueballs.finance,2021-08-23,https://www.blueballs.finance,BSC,D
1800,BLUEBALLS,BNB,18289.06,2.22,0,BSC,2.43421826549648e+66,FARM,https://www.blueballs.finance,2021-08-23,https://www.blueballs.finance,BSC,D
1801,BLUEBALLS,BUSD,5441.33,8.16,0,BSC,1.0653856247700437e+24,FARM,https://www.blueballs.finance,2021-08-23,https://www.blueballs.finance,BSC,D
1802,BLUEBRY,,0,0.00,1,MATIC,0.0,FARM,https://neonfinance.club/,2021-08-23,,,
1803,BLUEBRY,,487.43,82.73,0,MATIC,12572.768614287044,FARM,https://blueberryfarms.world/,2021-08-23,,,
1804,BLUEBRY,,3811.46,14.42,0,MATIC,5.552864649543536e+17,FARM,https://blackberryfarms.world/,2021-08-23,,,
1805,BLUEBRY,,0,0.00,2,MATIC,0.0,FARM,https://edenruby.farm,2021-08-23,,,
1806,BLUEBRY,USDC,1727.37,219.09,0,MATIC,2136819216.4856422,FARM,https://blueberryfarms.world/,2021-08-23,,,
1807,BLUEBRY,USDC,1314.88,219.13,0,MATIC,40737896.761375256,FARM,https://blackberryfarms.world/,2021-08-23,,,
1808,BLZ,BNB,88.57,2058197.41,0,BSC,142.20810929062048,FARM,https://apeswap.finance,2021-08-23,https://apeswap.finance,BSC,C
1809,BLZ,ETH,391.74,18964.88,0,ETH,4823.118499443008,FARM,https://farm.unicrypt.network,2021-08-23,https://farm.unicrypt.network,ETH,C
1810,BLZ,USDC,1.7363932799999997,22183.7587352,,ETH,1.7515141994515204,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1811,BLZD,SNKE,0,0.00,4.00,BSC,0.0,FARM,https://snakedefi.com,2021-08-23,https://snakedefi.com,BSC,F
1812,BLZDST,,0,0.00,0,BSC,0.0,FARM,https://blizzard.money,2021-08-23,https://blizzard.money,BSC,C
1813,BMI,ETH,7.163697,1504071.7851776,,ETH,7.425773173564165,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1814,BMI,UDO,5.11534644,7884.5179774,,ETH,5.248062751754756,POOL,Uniswap,2021-08-23,Uniswap,ETH,A
1815,BMON,BUSD,293.17,4337525.86,0,BSC,1754.1081286500187,FARM,https://pancakeswap.finance,2021-08-23,https://pancakeswap.finance,BSC,B
1816,BNB,,34296.07,3.83,4,FANTOM,1.0385902042171265e+107,FARM,https://rediant.finance,2021-08-23,https://rediant.finance,BSC,C
1817,BNB,,34296.07,3.83,4,FANTOM,1.0385902042171265e+107,FARM,https://rediant.finance,2021-08-23,https://rediant.finance,FANTOM,C
1818,BNB,,34296.07,3.83,4,FANTOM,1.0385902042171265e+107,FARM,https://rediant.finance,2021-08-23,https://rediant.finance,MATIC,C
1819,BNB,,3111.73,0.28,4,FANTOM,930668862744195.2,FARM,https://www.uniron.finance,2021-08-23,,,
1820,BNB,,1.90,1331.34,4,FANTOM,1.9181144628789282,FARM,https://klingftm.borgswap.exchange,2021-08-23,https://klingftm.borgswap.exchange,FANTOM,C
1821,BNB,,1480.24,0.57,4,FANTOM,200293331.38661,FARM,https://www.knight-finance.xyz,2021-08-23,,,
1822,BNB,,59.16,2570.79,0,BSC,80.60119617373518,FARM,https://lazymint.finance,2021-08-23,https://lazymint.finance,BSC,C
1823,BNB,,2.53,5270.53,4,BSC,2.562186194377092,FARM,https://venus.cosmos.farm,2021-08-23,https://venus.cosmos.farm,BSC,D
1824,BNB,,125.76,1560.99,5,BSC,250.9376709811783,FARM,https://marshmallowdefi.com,2021-08-23,https://marshmallowdefi.com,BSC,C
1825,BNB,,0.00,3589.08,4,BSC,0.0,FARM,https://garudaswap.finance,2021-08-23,https://garudaswap.finance,BSC,D
1826,BNB,,31.54,713.56,4,BSC,37.06208445159498,FARM,https://blazedefi.finance,2021-08-23,https://blazedefi.finance,BSC,D
1827,BNB,,0.00,0.00,0,BSC,0.0,FARM,https://app.tea-swap.finance/,2021-08-23,https://app.tea-swap.finance/,BSC,D
1828,BNB,,73.51,6498.46,3,BSC,108.41492882190443,FARM,https://app.tea-swap.finance/,2021-08-23,https://app.tea-swap.finance/,BSC,D
1829,BNB,,0.00,4.18,4,BSC,0.0,FARM,https://app.tea-swap.finance/,2021-08-23,https://app.tea-swap.finance/,BSC,D
1830,BNB,,9272214299393038336.00,0.00,0,BSC,,FARM,https://autofarm.network,2021-08-23,https://autofarm.network,BSC,C
1831,BNB,,118.81,76.82,2,BSC,227.45174427442646,FARM,https://www.void.farm,2021-08-23,https://www.void.farm,BSC,F
1832,BNB,,6.94,9687.01,0,BSC,7.185779837781769,FARM,https://money-pocket.dollaremon.fi,2021-08-23,https://money-pocket.dollaremon.fi,BSC,F
1833,BNB,,16842.48,20.06,0,BSC,1.3958012664635516e+62,FARM,https://app.pancakefork.finance,2021-08-23,https://app.pancakefork.finance,BSC,F
1834,BNB,,33.76,207515.23,5,BSC,40.13610848012463,FARM,https://caramelswap.finance,2021-08-23,https://caramelswap.finance,BSC,C
1835,BNB,,47.65,245.21,4,BSC,60.99276497638175,FARM,https://sviki.supermanion.com,2021-08-23,,,
1836,BNB,,6.97,1716.33,4,BSC,7.217934267697457,FARM,https://taiyakiswap.finance,2021-08-23,https://taiyakiswap.finance,BSC,D
1837,BNB,,9.16,157.92,3.99,BSC,9.591376954134212,FARM,https://kittyfarms.app/,2021-08-23,,,
1838,BNB,,1108.04,7.43,4,BSC,5502399.462720639,FARM,https://eta.parthenon.finance,2021-08-23,https://eta.parthenon.finance,BSC,F
1839,BNB,,81.12,249.95,4,BSC,124.85822382346691,FARM,https://sojudefi.com,2021-08-23,https://sojudefi.com,BSC,C
1840,BNB,,7.14,46.94,4,BSC,7.400324489940324,FARM,https://newgirl.supermanion.com,2021-08-23,,,
1841,BNB,,157.19,28.09,4,BSC,379.9563295280996,FARM,,2021-08-23,,,A
1842,BNB,,157.19,28.09,4,BSC,379.9563295280996,FARM,,2021-08-23,,,B
1843,BNB,,157.19,28.09,4,BSC,379.9563295280996,FARM,,2021-08-23,,FANTOM,F
1844,BNB,,157.19,28.09,4,BSC,379.9563295280996,FARM,,2021-08-23,,MATIC,F
1845,BNB,,157.19,28.09,4,BSC,379.9563295280996,FARM,,2021-08-23,,MATIC,F
1846,BNB,,6.30,1161.36,4,BSC,6.5021049376907225,FARM,https://www.lambofinance.com,2021-08-23,https://www.lambofinance.com,BSC,F
1847,BNB,,23.47,1273.90,4,BSC,26.443397907533562,FARM,https://sukiyakiswap.finance,2021-08-23,https://sukiyakiswap.finance,BSC,F
1848,BNB,,322.19,1.61,4,BSC,2372.3719267362567,FARM,https://legofarming.club,2021-08-23,https://legofarming.club,BSC,F
1849,BNB,,5.92,232.27,4,BSC,6.098232389835623,FARM,https://uzumaki.narutofinance.com,2021-08-23,https://uzumaki.narutofinance.com,BSC,F
1850,BNB,,4.35,8012.40,4,BSC,4.445728716157804,FARM,https://goldfarm.app,2021-08-23,,,
1851,BNB,,710.33,21.61,4,BSC,113476.85811848257,FARM,https://robobuddy.finance,2021-08-23,,,
1852,BNB,,0,0.00,4,BSC,0.0,FARM,https://lumberjackdefi.com,2021-08-23,,,
1853,BNB,,35.49,28223.95,4,BSC,42.579217568867755,FARM,https://farm.space,2021-08-23,https://farm.space,BSC,D
1854,BNB,,107.12,190.30,4,BSC,191.43044850519564,FARM,https://siberianswap.finance,2021-08-23,https://siberianswap.finance,BSC,D
1855,BNB,,43.75,102.77,4,BSC,54.842457217087805,FARM,https://bsc4.SpacePortDeFi.com,2021-08-23,,,
1856,BNB,,214.33,4.68,4,BSC,747.4246484168592,FARM,https://smurf.money,2021-08-23,,,
1857,BNB,,7.15,2592.72,4,BSC,7.4110629572154085,FARM,https://royalswap.io,2021-08-23,https://royalswap.io,BSC,F
1858,BNB,,159.66,74.16,4,BSC,391.906360793607,FARM,https://aliendefi.com,2021-08-23,https://aliendefi.com,BSC,D
1859,BNB,,15.58,2126.81,4,BSC,16.855361539963496,FARM,https://donutdefi.com,2021-08-23,https://donutdefi.com,BSC,D
1860,BNB,,2212.98,37.51,2,BSC,214172959380.42117,FARM,https://app.boobafinance.com,2021-08-23,,,
1861,BNB,,61.37,4833.03,4,BSC,84.6301869971547,FARM,https://app.rasta.finance,2021-08-23,https://app.rasta.finance,BSC,D
1862,BNB,,1253.80,1.41,4,BSC,22581219.973548833,FARM,https://www.smokingcucumber.finance,2021-08-23,,,
1863,BNB,,20.33,151416.80,0,BSC,22.537069129187024,FARM,https://retrofarms.net,2021-08-23,,,
1864,BNB,,13.01,136.25,4,BSC,13.891587056239452,FARM,https://fusionfinance.farm/,2021-08-23,https://fusionfinance.farm/,BSC,C
1865,BNB,,351.68,453.93,4,BSC,3211.43175090387,FARM,https://sugarrush.finance,2021-08-23,,,
1866,BNB,,195.55,3544.54,4,BSC,603.0658038059789,FARM,https://rediant.finance,2021-08-23,https://rediant.finance,BSC,C
1867,BNB,,195.55,3544.54,4,BSC,603.0658038059789,FARM,https://rediant.finance,2021-08-23,https://rediant.finance,FANTOM,C
1868,BNB,,195.55,3544.54,4,BSC,603.0658038059789,FARM,https://rediant.finance,2021-08-23,https://rediant.finance,MATIC,C
1869,BNB,,1341.79,6.29,4,BSC,52815777.324985236,FARM,https://snorre.farmwiki.xyz,2021-08-23,,,
1870,BNB,,16189.47,1.41,4,BSC,1.5570495855068676e+60,FARM,https://piranhaswap.finance,2021-08-23,,,
1871,BNB,,187.33,24.20,4,BSC,547.863078404562,FARM,https://delta.parthenon.finance,2021-08-23,https://delta.parthenon.finance,BSC,F
1872,BNB,,0.00,9.30,4,BSC,0.0,FARM,https://www.ybearswap.finance,2021-08-23,https://www.ybearswap.finance,BSC,D
1873,BNB,,0.00,11.26,1.99,BSC,0.0,FARM,https://brussels.worldswap.finance,2021-08-23,https://brussels.worldswap.finance,BSC,D
1874,BNB,,25924.28,0.33,4,BSC,1.1672053538736381e+87,FARM,https://infinity.space-defi.com,2021-08-23,,,
1875,BNB,,106.14,694.10,4,BSC,188.59661716669072,FARM,https://theta.parthenon.finance,2021-08-23,https://theta.parthenon.finance,BSC,F
1876,BNB,,411.19,1317.89,3.5,BSC,5867.4884063083655,FARM,https://whalefarm.finance,2021-08-23,https://whalefarm.finance,BSC,C
1877,BNB,,0.27,11500.77,3,BSC,0.27036382694296535,FARM,https://tripswap.finance,2021-08-23,https://tripswap.finance,BSC,C
1878,BNB,,0.00,436.85,0,BSC,0.0,FARM,http://slime.finance,2021-08-23,http://slime.finance,BSC,D
1879,BNB,,44.73,515.42,4,BSC,56.36551808814807,FARM,https://limeswap.io,2021-08-23,https://limeswap.io,BSC,C
1880,BNB,,42.04,65.74,4,BSC,52.220216846742474,FARM,https://deedee.dexterlab.finance,2021-08-23,,,
1881,BNB,,145.74,2681.41,4,BSC,328.23336775423917,FARM,https://seleniumswap.com,2021-08-23,https://seleniumswap.com,BSC,C
1882,BNB,,0,0.00,4,BSC,0.0,FARM,https://area51defi.com/,2021-08-23,,,
1883,BNB,,0.00,27.93,4,BSC,0.0,FARM,https://cottonfarm.app,2021-08-23,https://cottonfarm.app,BSC,C
1884,BNB,,586.24,6.35,4,BSC,33456.61214503274,FARM,https://thefarmingden.com,2021-08-23,https://thefarmingden.com,BSC,C
1885,BNB,,134.77,22.80,4.00,BSC,283.9023478859599,FARM,https://snakedefi.com,2021-08-23,https://snakedefi.com,BSC,F
1886,BNB,,0.00,89936.26,4,BSC,0.0,FARM,https://www.goosedefi.com,2021-08-23,https://www.goosedefi.com,BSC,C
1887,BNB,,0,78235.72,0,BSC,0.0,FARM,https://www.goosedefi.com,2021-08-23,https://www.goosedefi.com,BSC,C
1888,BNB,,73.96,232.52,4,BSC,109.35301005196703,FARM,https://alpha.parthenon.finance,2021-08-23,https://alpha.parthenon.finance,BSC,D
1889,BNB,,117.54,527.00,4,BSC,223.3326547827351,FARM,https://clash.werewolf.farm,2021-08-23,,,
1890,BNB,,16.76,71.22,4,BSC,18.241804526443573,FARM,https://tomahawk.farm/,2021-08-23,https://tomahawk.farm/,BSC,D
1891,BNB,,0.00,1.86,4,BSC,0.0,FARM,https://app.polarisdefi.io,2021-08-23,https://app.polarisdefi.io,BSC,C
1892,BNB,,26.91,56.03,4,BSC,30.865625387474836,FARM,https://magicbeans.finance/,2021-08-23,https://magicbeans.finance/,BSC,D
1893,BNB,,8.17,1871.44,4,BSC,8.512030136407756,FARM,https://antswap.fi,2021-08-23,https://antswap.fi,BSC,C
1894,BNB,,0.02,4.67,4,BSC,0.020001994651042132,FARM,https://trident.pearldefi.com,2021-08-23,https://trident.pearldefi.com,BSC,D
1895,BNB,,258.96,92.90,4,BSC,1220.3169049515272,FARM,https://www.pulsar.farm,2021-08-23,https://www.pulsar.farm,BSC,C
1896,BNB,,133.14,76.38,4,BSC,277.7179753239598,FARM,https://tapswap.finance,2021-08-23,https://tapswap.finance,BSC,D
